20	2026-03-06 19:50:19	589819	898.19
20	2026-03-05 16:03:39	489819	898.19
19	2026-03-06 19:50:18	589818	898.18
19	2026-03-04 12:16:58	389818	898.18
18	2026-03-05 16:03:37	489817	898.17
18	2026-03-04 12:16:57	389817	898.17
17	2026-03-06 19:50:16	589816	898.16
17	2026-03-05 16:03:36	489816	898.16
20	2026-03-05 16:00:19	489619	896.19
20	2026-03-04 12:13:39	389619	896.19
19	2026-03-06 19:46:58	589618	896.18
19	2026-03-05 16:00:18	489618	896.18
18	2026-03-06 19:46:57	589617	896.17
18	2026-03-04 12:13:37	389617	896.17
17	2026-03-05 16:00:16	489616	896.16
17	2026-03-04 12:13:36	389616	896.16
20	2026-03-06 19:43:39	589419	894.19
20	2026-03-04 12:10:19	389419	894.19
19	2026-03-05 15:56:58	489418	894.18
19	2026-03-04 12:10:18	389418	894.18
18	2026-03-06 19:43:37	589417	894.17
18	2026-03-05 15:56:57	489417	894.17
17	2026-03-06 19:43:36	589416	894.16
17	2026-03-04 12:10:16	389416	894.16
20	2026-03-06 19:40:19	589219	892.19
20	2026-03-05 15:53:39	489219	892.19
19	2026-03-06 19:40:18	589218	892.18
19	2026-03-04 12:06:58	389218	892.18
18	2026-03-05 15:53:37	489217	892.17
18	2026-03-04 12:06:57	389217	892.17
17	2026-03-06 19:40:16	589216	892.16
17	2026-03-05 15:53:36	489216	892.16
20	2026-03-05 15:50:19	489019	890.19
20	2026-03-04 12:03:39	389019	890.19
19	2026-03-06 19:36:58	589018	890.18
19	2026-03-05 15:50:18	489018	890.18
18	2026-03-06 19:36:57	589017	890.17
18	2026-03-04 12:03:37	389017	890.17
17	2026-03-05 15:50:16	489016	890.16
17	2026-03-04 12:03:36	389016	890.16
20	2026-03-06 19:33:39	588819	888.19
20	2026-03-04 12:00:19	388819	888.19
19	2026-03-05 15:46:58	488818	888.18
19	2026-03-04 12:00:18	388818	888.18
18	2026-03-06 19:33:37	588817	888.17
18	2026-03-05 15:46:57	488817	888.17
17	2026-03-06 19:33:36	588816	888.16
17	2026-03-04 12:00:16	388816	888.16
20	2026-03-06 19:30:19	588619	886.19
