10001	5700000.00	12000
10002	5700120.00	12000
10003	5700240.00	12000
10004	5700360.00	12000
10005	5700480.00	12000
10006	5700600.00	12000
10007	5700720.00	12000
10008	5700840.00	12000
10009	5700960.00	12000
10010	5701080.00	12000
10011	5701200.00	12000
10012	5701320.00	12000
10013	5701440.00	12000
10014	5701560.00	12000
10015	5701680.00	12000
10016	5701800.00	12000
10017	5701920.00	12000
10018	5702040.00	12000
10019	5702160.00	12000
10020	5702280.00	12000
10021	5702400.00	12000
10022	5702520.00	12000
10023	5702640.00	12000
10024	5702760.00	12000
10025	5702880.00	12000
10026	5703000.00	12000
10027	5703120.00	12000
10028	5703240.00	12000
10029	5703360.00	12000
10030	5703480.00	12000
10031	5703600.00	12000
10032	5703720.00	12000
