10001	142500.00	100
10002	142503.00	100
10003	142506.00	100
10004	142509.00	100
10005	142512.00	100
10006	142515.00	100
10007	142518.00	100
10008	142521.00	100
10009	142524.00	100
10010	142527.00	100
10011	142530.00	100
10012	142533.00	100
10013	142536.00	100
10014	142539.00	100
10015	142542.00	100
10016	142545.00	100
10017	142548.00	100
10018	142551.00	100
10019	142554.00	100
10020	142557.00	100
10021	142560.00	100
10022	142563.00	100
10023	142566.00	100
10024	142569.00	100
10025	142572.00	100
10026	142575.00	100
10027	142578.00	100
10028	142581.00	100
10029	142584.00	100
10030	142587.00	100
10031	142590.00	100
10032	142593.00	100
